time intensity
20.0114 2800
20.0402 1800
20.069 1200
20.0977 1300
20.1266 700
20.1554 900
20.1841 800
20.2129 1200
20.2417 700
20.2705 1500
20.2993 2000
20.3281 2200
20.3569 3100
20.3857 3000
20.4145 1600
20.4433 1100
20.4721 1100
20.5009 600
20.5297 300
20.5584 500
20.5872 800
20.616 600
20.6448 1100
20.6736 500
20.7024 600
20.7312 0
20.76 500
20.7888 1000
20.8176 400
20.8464 800
20.8752 1000
20.904 300
20.9328 300
20.9616 300
20.9904 400
21.0191 100
21.0479 0
21.0767 200
21.1055 500
21.1343 1000
21.1631 1800
21.1919 1400
21.2207 1900
21.2495 1500
21.2783 1500
21.3071 900
21.3359 700
21.3647 800
21.3935 1900
21.4222 1600
21.451 2600
21.4798 2100
21.5086 1800
21.5374 5700
21.5662 24500
21.595 77900
21.6238 186800
21.6526 525300
21.6814 887500
21.7102 880800
21.739 868000
21.7678 682600
21.7966 362000
21.8253 187800
21.8542 72400
21.883 21000
21.9117 8600
21.9405 9000
21.9693 21600
21.9981 70200
22.0269 197000
22.0557 364100
22.0845 479500
22.1133 677600
22.1421 592000
22.1709 417200
22.1997 324400
22.2285 130000
22.2573 52400
22.286 22100
22.3148 14000
22.3436 9000
22.3724 8100
22.4012 6700
22.43 3600
22.4588 5100
22.4876 4500
22.5164 3600
22.5452 5800
22.574 6400
22.6028 4800
22.6316 5100
22.6604 5700
22.6891 5300
22.718 5100
22.7467 5700
22.7755 3700
22.8043 3600
22.8331 4300
22.8619 2900
22.8907 4300
22.9195 4100
22.9483 5500
22.9771 4300
23.0059 4600
23.0347 4700
23.0635 4600
23.0923 5500
23.121 9000
23.1498 28900
23.1786 55900
23.2074 98500
23.2362 190000
23.265 274000
23.2938 245100
23.3226 377700
23.3514 323600
23.3802 229300
23.409 214500
23.4378 126100
23.4666 96800
23.4954 58000
23.5242 22200
23.553 18700
23.5818 9300
23.6106 5200
23.6393 3100
23.6681 2500
23.6969 1900
23.7257 1300
23.7545 1300
23.7833 1100
23.8121 800
23.8409 800
23.8697 1400
23.8985 1000
23.9273 1000
23.9561 600
23.9848 1500
24.0136 600
24.0424 700
24.0713 1600
24.1 1300
24.1288 1700
24.1576 300
24.1864 1500
24.2152 1600
24.244 4200
24.2728 3300
24.3016 14100
24.3304 21700
24.3592 12800
24.388 35700
24.4168 32500
24.4456 24100
24.4743 24900
24.5031 11400
24.5319 9100
24.5607 11900
24.5895 6800
24.6183 7300
24.6471 13600
24.6759 3800
24.7047 5400
24.7335 9800
24.7623 9000
24.7911 4700
24.8199 3300
24.8486 5100
24.8774 3200
24.9063 3200
24.935 2900
24.9638 1500
24.9926 1700
25.0214 2400
25.0502 2800
25.079 3800
25.1078 2200
25.1366 2300
25.1654 1600
25.1942 1700
25.223 800
25.2518 1600
25.2806 700
25.3094 1000
25.3381 800
25.3669 400
25.3957 1200
25.4245 2400
25.4533 1900
25.4821 2300
25.5109 7400
25.5397 10600
25.5685 19700
25.5973 35600
25.6261 58300
25.6549 106800
25.6837 213500
25.7124 285800
25.7412 364200
25.7701 633100
25.7988 660100
25.8276 758900
25.8564 676600
25.8852 529500
25.914 454500
25.9428 257900
25.9716 100400
26.0004 50200
26.0292 24900
26.058 11800
26.0868 6100
26.1156 3000
26.1444 2100
26.1732 2300
26.2019 900
26.2307 2100
26.2595 1400
26.2883 1100
26.3171 2200
26.3459 2300
26.3747 1400
26.4035 3200
26.4323 1700
26.4611 3400
26.4899 3000
26.5187 3700
26.5475 2100
26.5762 3900
26.605 3900
26.6339 2700
26.6626 2900
26.6914 4300
26.7202 4600
26.749 3300
26.7778 5600
26.8066 7600
26.8354 5100
26.8642 3400
26.893 2400
26.9218 2600
26.9506 1400
26.9794 1900
27.0082 1800
27.037 1100
27.0657 2000
27.0945 1800
27.1233 1500
27.1521 3100
27.1809 1400
27.2097 700
27.2385 1800
27.2673 2300
27.2961 2300
27.3249 3200
27.3537 5900
27.3825 8000
27.4113 14700
27.44 26800
27.4688 54000
27.4976 103600
27.5265 207900
27.5552 374800
27.584 630400
27.6128 779100
27.6416 917600
27.6704 1156000
27.6992 800800
27.728 1001100
27.7568 759800
27.7856 545700
27.8144 337100
27.8432 198500
27.872 109000
27.9008 47000
27.9295 22100
27.9583 12000
27.9871 5500
28.0159 5800
28.0447 4300
28.0735 3500
28.1023 4800
28.1311 2300
28.1599 2900
28.1887 4500
28.2175 2600
28.2463 2300
28.2751 2500
28.3038 1800
28.3326 1600
28.3615 2900
28.3902 1400
28.419 1400
28.4478 1300
28.4766 1800
