# 4700 Reflector July 2008, peptide YEVQGEVFTKPQLWP
mz	intensity
1834.017039	396.569
1834.041229	342.647
1834.065419	325.817
1834.089609	276.797
1834.113799	277.778
1834.137990	305.556
1834.162181	312.745
1834.186372	260.948
1834.210563	225.49
1834.234754	218.464
1834.258946	241.013
1834.283137	278.105
1834.307329	337.909
1834.331521	320.752
1834.355713	277.124
1834.379905	272.876
1834.404097	267.81
1834.428290	250
1834.452483	225.817
1834.476675	199.51
1834.500868	229.248
1834.525062	303.922
1834.549255	347.712
1834.573448	339.869
1834.597642	363.562
1834.621836	350.163
1834.646030	234.477
1834.670224	183.987
1834.694418	201.961
1834.718613	276.797
1834.742807	302.124
1834.767002	289.869
1834.791197	294.118
1834.815392	318.791
1834.839587	329.902
1834.863783	344.118
1834.887978	364.052
1834.912174	373.529
1834.936370	394.444
1834.960566	380.229
1834.984762	340.033
1835.008958	314.379
1835.033155	322.712
1835.057352	320.425
1835.081548	270.752
1835.105745	267.157
1835.129943	306.536
1835.154140	338.889
1835.178337	361.601
1835.202535	359.967
1835.226733	360.131
1835.250931	376.634
1835.275129	395.588
1835.299327	378.922
1835.323526	320.098
1835.347724	306.863
1835.371923	383.987
1835.396122	392.974
1835.420321	325
1835.444520	336.111
1835.468720	370.098
1835.492919	316.013
1835.517119	216.176
1835.541319	199.673
1835.565519	234.314
1835.589719	230.882
1835.613919	282.19
1835.638120	404.575
1835.662320	415.686
1835.686521	343.137
1835.710722	328.431
1835.734923	374.183
1835.759125	407.19
1835.783326	350.163
1835.807528	283.007
1835.831730	307.516
1835.855931	388.072
1835.880134	399.183
1835.904336	344.935
1835.928538	324.673
1835.952741	362.418
1835.976944	433.333
1836.001146	455.065
1836.025350	364.869
1836.049553	248.529
1836.073756	221.569
1836.097960	307.68
1836.122163	352.941
1836.146367	367.484
1836.170571	418.301
1836.194775	394.771
1836.218980	305.882
1836.243184	268.954
1836.267389	274.673
1836.291594	297.549
1836.315799	320.588
1836.340004	383.987
1836.364209	435.131
1836.388415	407.843
1836.412620	364.216
1836.436826	301.797
1836.461032	256.699
1836.485238	212.745
1836.509444	192.157
1836.533651	199.673
1836.557857	257.19
1836.582064	300.98
1836.606271	315.196
1836.630478	323.693
1836.654685	357.026
1836.678892	370.588
1836.703100	351.307
1836.727308	280.229
1836.751515	244.608
1836.775723	291.503
1836.799932	377.288
1836.824140	364.216
1836.848348	331.863
1836.872557	357.516
1836.896766	359.967
1836.920975	337.745
1836.945184	301.797
1836.969393	283.17
1836.993603	286.765
1837.017812	283.497
1837.042022	226.797
1837.066232	238.235
1837.090442	300.817
1837.114652	299.183
1837.138863	246.078
1837.163073	224.673
1837.187284	235.621
1837.211495	243.301
1837.235706	241.503
1837.259917	317.974
1837.284128	376.144
1837.308340	359.804
1837.332552	385.294
1837.356763	424.02
1837.380975	414.216
1837.405188	410.294
1837.429400	470.915
1837.453612	482.353
1837.477825	423.203
1837.502038	414.543
1837.526251	466.013
1837.550464	458.66
1837.574677	364.052
1837.598890	284.641
1837.623104	264.052
1837.647318	285.784
1837.671532	288.889
1837.695746	281.699
1837.719960	230.556
1837.744174	171.405
1837.768389	162.092
1837.792604	227.778
1837.816819	373.856
1837.841034	502.941
1837.865249	510.621
1837.889464	528.431
1837.913680	606.536
1837.937895	595.588
1837.962111	427.288
1837.986327	301.144
1838.010543	309.314
1838.034759	342.647
1838.058976	333.987
1838.083193	324.51
1838.107409	369.771
1838.131626	403.105
1838.155843	364.869
1838.180061	315.033
1838.204278	295.425
1838.228496	294.118
1838.252713	308.66
1838.276931	336.275
1838.301149	359.477
1838.325367	318.301
1838.349586	271.895
1838.373804	289.869
1838.398023	341.503
1838.422242	326.307
1838.446461	261.601
1838.470680	275
1838.494899	303.758
1838.519119	277.124
1838.543339	259.967
1838.567558	278.431
1838.591778	333.66
1838.615998	354.902
1838.640219	354.248
1838.664439	338.235
1838.688660	351.471
1838.712881	320.588
1838.737102	294.771
1838.761323	261.111
1838.785544	311.601
1838.809765	406.209
1838.833987	550.327
1838.858209	927.288
1838.882430	1598.2
1838.906652	2360.46
1838.930875	2644.61
1838.955097	2228.76
1838.979320	1419.28
1839.003542	866.83
1839.027765	704.902
1839.051988	644.771
1839.076211	516.503
1839.100435	404.085
1839.124658	396.242
1839.148882	442.484
1839.173105	434.967
1839.197329	402.124
1839.221554	404.085
1839.245778	401.634
1839.270002	344.935
1839.294227	328.431
1839.318452	343.954
1839.342676	399.02
1839.366902	405.556
